obscd,obsnm,sbsncd,mngorg
1011650,인제군(어두원교),101103,한국수자원공사
1011690,인제군(월학리),101103,한국수자원공사
1011693,인제군(도리촌교),101104,한국수자원공사
1011695,인제군(리빙스턴교),101104,환경부
1012630,인제군(왕성동교),101201,환경부
1012635,인제군(양지교),101202,환경부
1012640,인제군(현리교),101204,환경부
1012645,인제군(하죽천교),101205,환경부
1012650,인제군(원대교),101205,한국수자원공사
1012670,인제군(양구대교),101206,한국수자원공사
1012685,춘천시(천전리),101208,환경부
1012688,지내,101208,한국수자원공사
1013620,목동교,101306,한국수력원자력
1013637,춘천시(소양2교),101302,환경부
1013645,춘천시(강촌교),101304,환경부
1013655,가평군(가평교),101306,환경부
1014620,홍천군(용선교),101402,환경부
1014630,홍천군(주음치교),101404,환경부
1014635,홍천강(성포교),101404,한국수력원자력
1014640,홍천군(굴운교),101406,환경부
1014650,홍천군(홍천교),101408,환경부
1014665,홍천군(남노일대교),101410,환경부
1014680,홍천군(반곡교),101412,환경부
1014695,한덕교,101413,한국수력원자력
1014696,홍천군(모곡교),101413,환경부
1015630,산장제1교,101504,한국수력원자력
1015640,가평군(청평댐),101502,환경부
1015644,가평군(청평교),101504,환경부
1015645,가평군(신청평대교),101506,환경부
1015680,남양주시(삼봉리),101508,환경부
1016607,용인시(월촌교),101601,환경부
1016650,광주시(경안교),101603,환경부
1016655,경안교,101603,한국수력원자력
1016660,광주시(섬뜰교),101604,환경부
1016670,광주시(서하교),101605,환경부
1016695,광주시(광동교),101605,환경부
1017690,남양주시(팔당댐),101701,환경부
1018610,남양주시(팔당대교),101801,환경부
1018620,남양주시(부평교),101802,환경부
1018623,남양주시(연평대교),101802,환경부
1018625,남양주시(내곡교),101802,환경부
1018630,남양주시(진관교),101803,환경부
1018635,남양주시(퇴계원리),101803,환경부
1018638,남양주시(왕숙교),101803,환경부
1018640,서울시(광진교),101807,환경부
1018650,성남시(궁내교),101804,환경부
1018655,서울시(대곡교),101806,환경부
1018658,서울시(대치교),101806,환경부
1018662,서울시(청담대교),101807,환경부
1018665,의정부시(신곡교),101808,환경부
1018669,서울시(창동교),101810,환경부
1018670,서울시(월계2교),101810,환경부
1018675,서울시(중랑교),101810,환경부
1018680,서울시(잠수교),101811,환경부
1018683,서울시(한강대교),101812,환경부
1018690,안양시(충훈1교),101815,환경부
1018693,광명시(시흥대교),101815,환경부
1018695,서울시(너부대교),101815,환경부
1018697,서울시(오금교),101815,환경부
1019620,부천시(도두리2교),101907,환경부
1019630,서울시(행주대교),101903,환경부
1019635,아라한강갑문(내),101903,한국수자원공사
1019636,아라한강갑실,101903,한국수자원공사
1019637,아라한강갑문(외),101903,한국수자원공사
1019647,박촌1교,101903,한국수자원공사
1019648,계양대교,101903,한국수자원공사
1019651,귤현보(상),101903,한국수자원공사
1019652,귤현보(하),101903,한국수자원공사
1019653,벌말교,101903,한국수자원공사
1019675,김포시(전류리),101906,환경부
1019680,파주시(교하교),101906,환경부
1021650,연천군(필승교),102108,환경부
1021670,북삼,102108,한국수자원공사
1021680,연천군(임진교),102109,환경부
1022626,철원군(장수대교),102202,환경부
1022630,철원군(삼합교),102201,환경부
1022635,철원군(한탄대교),102203,환경부
1022638,철원군(군탄교),102204,한국수자원공사
1022640,포천시(용담교),102204,환경부
1022642,포천시(대회산교),102205,한국수자원공사
1022643,포천시(영로대교),102205,한국수자원공사
1022645,연천군(한여울교),102205,한국수자원공사
1022648,포천시(은현교),102209,환경부
1022650,포천시(영평교),102210,환경부
1022655,포천시(신백의교),102210,환경부
1022662,연천군(차탄교),102214,환경부
1022664,궁신교,102215,한국수자원공사
1022666,연천군(고탄교),102215,한국수자원공사
1022668,동두천시(송천교),102213,환경부
1022670,연천군(신천교),102213,환경부
1022680,연천군(사랑교),102215,환경부
1023640,연천군(삼화교),102301,환경부
1023660,파주시(비룡대교),102301,환경부
1023662,연천군(사미천교),102302,환경부
1023670,파주시(통일대교),102304,환경부
1023680,파주시(아가메교),102306,환경부
1101605,화성시(화산교),110113,환경부
1101610,안성시(옥산대교),110101,환경부
1101620,안성시(건천리),110107,환경부
1101630,천안시(안성천교),110107,환경부
1101635,평택시(군문교),110107,환경부
1101645,오산시(탑동대교),110111,환경부
1101650,화성시(수직교),110113,환경부
1101663,평택시(진위1교),110114,환경부
1101665,평택시(회화리),110114,환경부
1101670,평택시(동연교),110115,환경부
1101680,평택시(팽성대교),110116,환경부
1101695,아산만(내),110118,한국농어촌공사
1101696,아산만(외),110118,한국농어촌공사
1201620,강화군(강화대교),120104,환경부
1201651,아라서해갑문(내),120102,한국수자원공사
1201652,아라서해갑실(남),120102,한국수자원공사
1201653,아라서해갑문(외),120102,한국수자원공사
1201654,아라서해갑실(북),120102,한국수자원공사
1301630,양양군(용천2교),130107,환경부
1301658,양양군(양양대교),130107,환경부
1302648,강릉시(회산교),130204,환경부
1302665,동해시(원평교),130207,한국수자원공사
1302668,동해시(북평교),130207,환경부
1302670,강릉시(송림교),130201,환경부
1303610,삼척시(남양촌교),130305,환경부
1303650,삼척시(상정교),130302,환경부
1303680,삼척시(오십천교),130302,환경부
