obscd,obsnm,sbsncd,mngorg
2017670,의령군(여의리),201704,환경부
2017685,의령군(세간교),201702,환경부
2018608,함양군(금천리),201802,한국수자원공사
2018609,함양군(안의교),202102,환경부
2018620,함양군(용평리),201803,한국수자원공사
2018623,함양군(대웅교),201803,한국수자원공사
2018630,함양군(의탄리),201805,한국수자원공사
2018635,함양군(화촌리),201805,한국수자원공사
2018640,산청군(고읍교),201806,환경부
2018645,산청군(경호교),201806,한국수자원공사
2018650,산청군(수산교),201807,한국수자원공사
2018655,합천군(소오리),201809,한국수자원공사
2018662,산청군(소이교),201808,환경부
2018665,산청군(하정리),201809,한국수자원공사
2018673,산청군(원리교),201811,한국수자원공사
2018674,산청군(묵곡교),201810,환경부
2018680,산청군(창촌리),201813,한국수자원공사
2018685,하동군(대곡리),201813,한국수자원공사
2018690,진주시(내평리),201814,한국수자원공사
2018692,사천시(검정리),250104,한국수자원공사
2018698,진주시(남강댐방수로),201901,한국수자원공사
2019610,고성군(두문교),201902,환경부
2019615,진주시(장대동),201901,한국수자원공사
2019620,함안군(송도교),201910,환경부
2019625,진주시(옥산교),201902,환경부
2019635,진주시(덕오리),201903,환경부
2019640,진주시(월강교),201903,환경부
2019647,진주시(장박교),201905,환경부
2019653,의령군(공단교),201907,환경부
2019655,의령군(정암교),201905,환경부
2019680,함안군(서촌리),201909,환경부
2019685,함안군(대사교),201909,환경부
2019695,의령군(성산리),201910,환경부
2020603,밀양시(판곡교),202007,환경부
2020605,창녕군(강리),202002,환경부
2020615,함안군(계내리),202004,환경부
2020640,함안군(소랑교),202003,환경부
2020646,함안군(창녕함안보하),202004,환경부
2020647,창녕군(창녕함안보상),202004,환경부
2020650,창녕군(청암리),202005,환경부
2020651,밀양시(인교),202007,환경부
2020675,창원시(수산대교),202010,환경부
2020680,김해시(오서교),202009,환경부
2021610,경주시(의곡교),202102,환경부
2021612,청도군(신원교),202101,한국수자원공사
2021620,청도군(운문댐),202101,한국수자원공사
2021625,청도군(임당리),202102,한국수자원공사
2021630,청도군(당호리),202102,한국수자원공사
2021635,경주시(매곡교),202104,한국수자원공사
2021640,청도군(원리),202104,환경부
2021650,양산시(대리),202105,한국수자원공사
2021660,밀양시(밀양댐),202105,한국수자원공사
2021665,밀양시(상동교),202108,환경부
2021670,밀양시(금곡리),202107,환경부
2021675,밀양시(용평동),202108,환경부
2021677,밀양시(남천교),202109,환경부
2021685,밀양시(남포동),202109,환경부
2021690,밀양시(삼상교),202109,환경부
2022610,밀양시(삼랑진교),202201,환경부
2022640,김해시(월촌리),202202,환경부
2022655,양산시(효충교),202203,환경부
2022660,양산시(양산교),202204,환경부
2022670,양산시(호포대교),202204,환경부
2022680,부산시(구포대교),202208,환경부
2022685,김해시(정천교),202206,환경부
2022696,부산시(낙동강하구언(내)),230206,한국수자원공사
2022697,부산시(낙동강하구언(외)),250408,한국수자원공사
2101610,경주시(망성교),210101,환경부
2101620,경주시(효현교),210102,환경부
2101625,경주시(서천교),210108,환경부
2101650,경주시(모아리),210108,환경부
2101668,경주시(달성교),210107,환경부
2101675,경주시(강동대교),210108,환경부
2101680,경주시(국당리),210109,환경부
2101690,포항시(형산교),210109,환경부
2201611,울산시(구수교),220101,환경부
2201613,울산시(대암교),220102,한국수자원공사
2201614,울산시(왕방교),220102,한국수자원공사
2201615,울산시(대암댐),220102,한국수자원공사
2201617,울산시(반구교),220103,한국수자원공사
2201625,울산시(사연댐),220103,한국수자원공사
2201630,울산시(사연교),220101,환경부
2201640,울산시(선바위교),220104,환경부
2201653,울산시(구영교),220104,환경부
2201660,울산시(삼호교),220106,환경부
2201670,울산시(태화교),220106,환경부
2201685,울산시(신답교),220105,환경부
2201690,울산시(병영교),220105,환경부
2301630,울산시(통천교),230102,환경부
2301650,울산시(동천1교),230103,환경부
2301670,울산시(덕신교),230103,환경부
2302650,부산시(원동교),230203,환경부
2302695,부산시(신평동),230206,한국수자원공사
2401620,울진군(구산리),240106,한국수자원공사
2401650,울진군(수산교),240106,환경부
2401690,영덕군(인량교),240110,환경부
2402620,영덕군(대지리),240203,한국수자원공사
2402630,영덕군(영덕대교),240204,환경부
2501620,판문,201814,한국수자원공사
2503620,거제시(연초댐),250302,한국수자원공사
2503625,거제시(죽전교),250304,한국수자원공사
2503640,거제시(구천댐),250304,한국수자원공사
2503650,거제시(구천교),250304,한국수자원공사
5002201,평림댐,200214,한국수자원공사
3001605,장수군(운곡교),300101,환경부
3001610,장수군(장계제2교),300102,환경부
3001620,장수군(연화교),300104,한국수자원공사
3001630,진안군(송대교),300105,한국수자원공사
3001640,진안군(성산리),300103,한국수자원공사
3001660,진안군(석정교),300106,한국수자원공사
3001690,진안군(용담댐),300108,한국수자원공사
3001695,진안군(용담댐방수로),300108,한국수자원공사
3002630,진안군(신용담교),300201,한국수자원공사
3002650,진안군(감동교),300201,환경부
3002655,무주군(대티교),300201,환경부
3003620,무주군(신촌농2교),300301,환경부
3003660,무주군(여의교),300302,환경부
3003680,무주군(취수장),300303,환경부
3004610,수통,300401,환경부
3004620,금산군(적벽교),300401,한국수자원공사
3004637,금산군(황풍교),300403,환경부
3004640,금산군(제원대교),300401,환경부
3004645,금산군(음대교),300402,환경부
3004650,영동군(호탄리),300404,한국수자원공사
3004680,영동군(영동제2교),300406,환경부
3004685,영동군(초강교),300406,환경부
3004690,영동군(양강교),300405,환경부
3005670,영동군(황간교),300501,환경부
3005675,영동군(백화교),300502,환경부
3005680,영동군(율리),300503,한국수자원공사
3005690,영동군(심천교),300503,환경부
3006650,이원,300601,환경부
3006680,옥천군(이원대교),300601,한국수자원공사
3007610,보은군(산성교),300701,환경부
3007620,보은군(이평교),300701,환경부
3007640,보은군(탄부교),300704,환경부
3007645,보은군(대양교),300703,환경부
3007650,보은군(기대교),300705,환경부
3007660,옥천군(산계교),300706,환경부
3007670,옥천군(산계리),300706,한국수자원공사
3008630,옥천군(옥각교),300803,환경부
3008670,금산군(제원교),300403,환경부
3008680,대전시(대청조정지댐),300805,한국수자원공사
3008685,청주시(대청댐방수로),300805,한국수자원공사
3008690,청주시(대청댐),300805,한국수자원공사
3008695,대전시(금강1교),300805,환경부
3009620,금산군(문암교),300903,환경부
3009630,대전시(복수교),300905,환경부
3009640,대전시(인창교),300904,환경부
3009645,대전시(철갑교),300904,환경부
3009650,대전시(용촌교),300901,환경부
3009655,대전시(두계교),300901,환경부
3009665,대전시(가수원교),300902,환경부
3009670,대전시(만년교),300906,환경부
3009673,대전시(한밭대교),300905,환경부
